Relational;Qualitative
local;absorbed
national;ample
political;bad
public;bald
economic;capable
international;cautious
european;complete
financial;concrete
american;contingent
individual;cool
natural;crazy
legal;crooked
industrial;crude
military;dangerous
professional;decisive
traditional;deficient
german;delicious
medical;difficult
physical;disproportionate
environmental;early
annual;equal
regional;expired
commercial;exquisite
official;famous
sexual;favourite
domestic;formidable
internal;frank
potential;haughty
technical;hidden
cultural;holy
christian;humble
democratic;imperfect
educational;improper
mental;incomplete
scientific;insufficient
historical;intelligent
urban;internal
russian;left
external;long
vital;low
roman;maximal
academic;minimal
parliamentary;minor
african;mutual
agricultural;notorious
italian;opaque
federal;overflowing
indian;pertinent
global;pessimistic
chemical;placid
electronic;pointed
literary;primary
electric;primitive
catholic;prone
classical;prosperous
constitutional;prudent
residential;purple
theoretical;random
clinical;raw
monetary;reactionary
structural;reciprocal
psychological;red-hot
classic;remarkable
intellectual;responsible
medieval;rigid
linguistic;rude
judicial;serious
victorian;significant
imperial;silent
australian;similar
revolutionary;simplistic
historic;soft
electrical;soft
electoral ;solid
spiritual;square
presidential;straight
gastric;subaltern
statistical;sublime
diplomatic;sublime
illegal;subsidiary
institutional;superfluous
biological;tenacious
mechanical;terrifying
asian;total
;true 
;unique
;vague
;vicious
;vigorous
;virile
;vulgar
;weak
;wide
