Relational;Qualitative
local;high
national;long
political;large
public;general
economic;young
international;full
european;available
financial;early
american;big
individual;clear
natural;real
legal;certain
industrial;special
military;black
professional;difficult
traditional;open
german;white
medical;free
physical;common
environmental;short
annual;similar
regional;necessary
commercial;single
official;private
sexual;foreign
domestic;recent
internal;strong
potential;concerned
technical;late
cultural;low
christian;hard
democratic;bad
educational;present
mental;poor
scientific;wrong
historical;easy
urban;simple
russian;current
external;nice
roman;fine
academic;close
parliamentary;normal
african;red
agricultural;serious
italian;previous
federal;significant
indian;happy
global;specific
chemical;appropriate
electronic;top
literary;wide
electric;dead
catholic;sorry
classical;successful
constitutional;original
residential;basic
theoretical;aware
clinical;popular
monetary;direct
structural;useful
psychological;effective
classic;ready
intellectual;dark
medieval;independent
linguistic;green
judicial;involved
victorian;considerable
imperial;interesting
australian;cold
revolutionary;existing
historic;responsible
electrical;complete
spiritual;heavy
presidential;blue
gastric;hot
statistical;past
diplomatic;interested
illegal;future
institutional;beautiful
biological;obvious
mechanical;positive
asian;fair
;senior
;relevant
;huge
;deep
;separate
;active
;standard
;complex
;powerful
;impossible
;united
;excellent
;fresh
;far
;rich
;famous
;alone
;limited
;safe
;warm
;reasonable
;strange
;light
