,Adjective,Adj_Type,Count,PP,NMod,Bare_in_PP_Sing,Bare_in_PP_Pl,Bare_in_NP_Sing,Bare_in_NP_Pl,PP_in_NP,PP_in_VP,PP_in_AP,PP_Percent,Prep_Entropies,HW_Entropies,PP_HW_Entropies
0,local,Relational,46211,23719,0.048321828136158054,0.276402883764071,0.36177747797124665,0.282465213910108,0.35134491787669603,0.5177705636831232,0.39373498039546356,0.036510814115266244,0.5132760598125987,1.911868100413436,5.782461487734187,7.231499435271937
1,national,Relational,30192,14691,0.10429915209326975,0.33047444013341504,0.1884827445374719,0.3430047694753577,0.16676603073661897,0.5943094411544483,0.3261180314478252,0.03199237628480022,0.48658585055643877,1.7581988871527887,6.0155108496676615,7.055252847338661
2,political,Relational,30428,14285,0.022380701985013803,0.3883094154707735,0.27616380819040953,0.3560864992769817,0.246582095438412,0.5770388519425971,0.3103955197759888,0.03927196359817991,0.46946891021427634,1.6145346931162794,6.069184217499464,7.0789213561021285
3,public,Relational,31335,13661,0.1624062549864369,0.424639484664373,0.24097796647390382,0.4343705122067975,0.20236157651188766,0.5566210379913623,0.34880316228680186,0.03989459043993851,0.435966172012127,1.6348589692957491,5.407755055405685,7.005910563828677
4,economic,Relational,23941,10776,0.057850549266947916,0.486358574610245,0.24610244988864144,0.4444258802890439,0.21736769558497973,0.642260579064588,0.2606718634001485,0.03888270230141054,0.4501065118416106,1.61726419605124,5.4932767090040056,6.8524386827910035
5,international,Relational,19011,8787,0.039030035242754196,0.36997837714805965,0.25059747354045747,0.3568460365051812,0.23333859344589974,0.5929213611016274,0.33469898714009333,0.02367133265050643,0.4622060912103519,1.7904465944552714,6.043317231760186,6.917668727934231
6,european,Relational,14583,8046,0.07159020777617774,0.24857071836937608,0.3093462590106885,0.2696290200918878,0.28327504628677225,0.5906040268456376,0.31792194879443203,0.03554561272682078,0.5517383254474388,1.8014035860970397,5.426867592993384,6.928382324945748
7,financial,Relational,15969,7128,0.05974074769866616,0.30808080808080807,0.34441638608305275,0.33026488822092803,0.3181163504289561,0.5370370370370371,0.35970819304152635,0.03268799102132435,0.4463648318617321,1.7752477108191942,5.146615600266291,6.716148648569898
8,american,Relational,11866,5514,0.04297994269340974,0.2841857091040987,0.3258977149075082,0.28147648744311476,0.28400471936625654,0.573449401523395,0.32861806311207836,0.042437431991294884,0.4646890274734536,1.7225196329320196,6.49254824752459,7.051969667389087
9,individual,Relational,13511,7035,0.04041151654207683,0.17569296375266524,0.5356076759061834,0.1905114351269336,0.479461179779439,0.5874911158493248,0.31755508173418623,0.03695806680881308,0.5206868477536822,1.6766754220291067,6.652228146069555,6.915840060756392
10,natural,Relational,14111,5291,0.09949684643186167,0.4365904365904366,0.2424872424872425,0.36163276876195877,0.17482814825313586,0.5293895293895294,0.35664335664335667,0.05462105462105462,0.3749557083126639,1.5529116660460047,5.193650652612616,6.575948323984909
11,legal,Relational,13156,5310,0.041653998175737304,0.33408662900188324,0.2919020715630885,0.3351322590453025,0.24931590148981453,0.5414312617702448,0.3463276836158192,0.04745762711864407,0.40361812100942535,1.6071540230630603,5.408629633763834,6.548277599515847
12,industrial,Relational,11600,6033,0.09129310344827586,0.3732802917288248,0.3232222774738936,0.38275862068965516,0.2944827586206897,0.6303663185811371,0.2708436930217139,0.03712912315597547,0.5200862068965517,1.6536517028213216,5.406249426231411,6.866886310785361
13,military,Relational,10231,4942,0.041247189913009484,0.4030756778632133,0.27033589639821937,0.3829537679601212,0.24679894438471311,0.5637393767705382,0.3462161068393363,0.0339943342776204,0.483041735900694,1.6564256444388952,5.8859890993754895,6.803323628107718
