Adj_Type,,Unnamed: 0,ID,Head word,Target Adj,Adj_Type,Type,Prep,POS,Words,Lemmas,Bare NP in PP
Qualitative,272611,448068,898 F9D,days,early,Qualitative,PP,in,"ADP, DET, ADJ, NOUN, ADP, ADJ, NOUN, NOUN, ADP, NOUN, AUX, VERB, ADP, NOUN, NOUN, ADJ, ADP, PROPN, PROPN, ADP, DET, PROPN, VERB, DET, NOUN, ADP, ADP, PRON, CCONJ, DET, ADJ, AUX, VERB, ADP, NOUN, CCONJ, NOUN, NOUN, ADV, ADP, DET, NOUN]",in the early days of commercial tv lots of ads were written as jingles composers such as johnny johnson in the uk made a fortune out of them and the best were sung by kids and ad people all over the country,in the early day of commercial tv lots of ad be write as jingle composer such as johnny johnson in the uk make a fortune out of they and the best be sing by kid and ad people all over the country,False
Qualitative,309051,813859,1014 J18,distributions,wide,Qualitative,PP,with,"DET, NOUN, NOUN, ADP, DET, NOUN, PRON, AUX, VERB, ADP, DET, NOUN, ADP, ADJ, NOUN, VERB, ADP, NOUN, ADP, ADJ, ADJ, NOUN, CCONJ, ADJ, ADP, PRON, AUX, VERB, ADV, ADP, DET, ADJ, NOUN, ADP, NOUN, SCONJ, ADJ, AUX, VERB, ADP, NOUN, NOUN]",the woody floras of those forests that are surrounded on all sides by arid woodlands consist of species with wide neotropical distributions and many of them are found elsewhere in a wide range of habitats while few are restricted to montane forest,the woody flora of those forest that be surround on all side by arid woodland consist of species with wide neotropical distribution and many of they be find elsewhere in a wide range of habitat while few be restrict to montane forest,False
Qualitative,271785,440224,809 EWB,winter,long,Qualitative,PP,by,"PART, VERB, DET, NOUN, CCONJ, ADV, VERB, PRON, ADJ, NOUN, ADP, NOUN, AUX, VERB, ADP, DET, ADJ, NOUN, NOUN, SCONJ, VERB, ADP, PROPN, ADP, NUM, SCONJ, VERB, NUM, CCONJ, NUM, NOUN, ADV, VERB, DET, NOUN, ADP, ADJ, NOUN, CCONJ, VERB, NOUN, AUX, AUX, ADV, PRON]",to work all year and then watch your entire flock of sheep be killed by a long savage winter as happened in malham in 1940 when drifts ten and twenty feet deep covered the moor of spiggot hill and tarn moss must be cruelty itself,to work all year and then watch you entire flock of sheep be kill by a long savage winter as happen in malham in 1940 when drift ten and twenty foot deep cover the moor of spiggot hill and tarn moss must be cruelty itself,False
Qualitative,261259,331911,2038 CML,boulevards,wide,Qualitative,PP,along,"SCONJ, PRON, VERB, ADP, DET, ADJ, NOUN, VERB, AUX, ADJ, ADP, PRON, NOUN, ADP, DET, NOUN, ADP, DET, NOUN]",as they drove along the wide boulevards myeloski was expansive in his description of the history of the town,as they drive along the wide boulevard myeloski be expansive in he description of the history of the town,False
Qualitative,247528,216568,1567 C92,capacity,similar,Qualitative,PP,of,"DET, NOUN, NOUN, CCONJ, ADJ, NOUN, NOUN, ADP, ADJ, NOUN, NOUN, VERB, PROPN, PROPN]",a copper cable and optical fibre cable of similar message capacity courtesy british telecom,a copper cable and optical fibre cable of similar message capacity courtesy british telecom,True
Qualitative,246078,205343,208 BNW,cost,total,Qualitative,PP,at,"PRON, AUX, ADV, VERB, NOUN, PART, VERB, NUM, NOUN, ADP, DET, ADJ, NOUN, ADP, SYM, NUM, VERB, DET, ADJ, NOUN, ADP, SYM, NUM]","they may therefore reduce output to say 80,000 units at a total cost of £340,000 giving an average cost of £4.25","they may therefore reduce output to say 80,000 unit at a total cost of £340,000 give an average cost of £4.25",False
Qualitative,254272,271814,6190 CEP,cliches,favourite,Qualitative,PP,of,"SCONJ, PRON, AUX, PART, VERB, DET, NOUN, PRON, AUX, PART, VERB, DET, NOUN, AUX, NUM, ADP, NOUN, PART, ADJ, NOUN]",if you do n't buy the ticket you do n't win the raffle is one of football 's favourite cliches,if you do not buy the ticket you do not win the raffle be one of football 's favourite cliche,True
Qualitative,237876,134235,461 ASL,embryo,early,Qualitative,PP,of,"PRON, AUX, ADJ, PART, VERB, DET, NOUN, ADP, DET, ADJ, NOUN, NOUN, ADP, ADJ, NOUN, CCONJ, ADJ, NOUN, AUX, ADV, VERB]",it is possible to rearrange the cells of the early mouse embryo in numerous combinations and normal development will still occur,it be possible to rearrange the cell of the early mouse embryo in numerous combination and normal development will still occur,False
Qualitative,253301,263815,1090 CDW,church,early,Qualitative,PP,of,"ADP, NOUN, PRON, VERB, NUM, ADJ, NOUN, ADP, PRON, AUX, VERB, PART, AUX, VERB, DET, NOUN, ADP, DET, ADJ, NOUN, PRON, PRON, VERB, AUX, ADV, CCONJ, VERB, DET, NOUN, ADP, ADJ, CCONJ, PRON, VERB, PRON, NOUN, CCONJ, NOUN, CCONJ, VERB, PRON, ADP, ADV, ADP, PRON, VERB, NOUN, VERB, NUM, CCONJ, DET, NOUN, VERB, SCONJ, PRON, ADP, DET, NOUN, PRON, PRON, VERB, AUX, PRON, ADJ, CCONJ, PRON, VERB, PRON, ADP, ADJ]",in acts we have two vivid descriptions of what has come to be called the communism of the early church all who believed were together and had all things in common and they sold their possessions and goods and distributed them to all as any had need acts 2:44–5 and no one said that any of the things which he possessed was his own but they had everything in common,in act we have two vivid description of what have come to be call the communism of the early church all who believe be together and have all thing in common and they sell they possession and goods and distribute they to all as any have need act 2:44–5 and no one say that any of the thing which he possess be he own but they have everything in common,False
Qualitative,230853,70878,792 AD9,way,bad,Qualitative,PP,in,"PRON, VERB, PRON, NOUN, VERB, ADP, ADP, NUM, ADP, DET, ADV, ADJ, NOUN]",she told me crevecoeur showed up around 18.00 in a pretty bad way,she tell i crevecoeur show up around 18.00 in a pretty bad way,False
